"","department","sector1","sector2","apex"
"111","RAJASTHAN POLICE ACADEMY (RPA)","POLICE","",""
"112","LAW AND ORDER","POLICE","",""
"113","POLICE ADMINISTRATION","POLICE","",""
"114","HOME GUARD","","",""
"115","RAILWAYS","","",""
"116","PRIMARY EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","",""
"117","SCHEDULED CASTE & TRIBES DEVELOPMENT CORPORATION (SCDC)","SOCIAL SECURITY AND WELFARE","","apex"
"118","COMMERCIAL TAXES","ECONOMIC SERVICES","",""
"119","HIGHER EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","",""
"120","CHIEF MINISTER OFFICE (CMO)","SECRETARIAT – GENERAL SERVICES","",""
"121","RAJASTHAN COUNCIL OF ELEMENTARY EDUCATION (RCEE)","EDUCATION, SPORTS, ART AND CULTURE","",""
"122","RAJASTHAN URBAN DRINKING WATER SEWERAGE AND INFRASTRUCTURE CORPORATION LIMITED (RUDSICO)","URBAN DEVELOPMENT","","apex"
"123","SC/ST FINANCE DEVELOPMENT COOPERATIVE NIGAM LIMITED","CO-OPERATION","",""
"124","REVENUE APPELLATE AUTHORITY (RAA)","","",""
"125","NAGAR PALIKA","URBAN DEVELOPMENT","",""
"126","SPINNING MILLS","","",""
"127","CIVIL AVIATION","","",""
"128","MID-DAY MEAL","EDUCATION, SPORTS, ART AND CULTURE","",""
"129","RASHTRIYA MADHYAMIK SHIKSHA ABHIYAN (RMSA)","EDUCATION, SPORTS, ART AND CULTURE","",""
"130","SCHOOL EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","",""
"131","TRAFFIC","","",""
"132","CENTRAL BUREAU OF INVESTIGATION (CBI)","","",""
"133","PERSONNEL","SECRETARIAT – GENERAL SERVICES","",""
"134","SARDAR PATEL UNIVERSITY OF POLICE SECURITY & CRIMINAL JUSTICE","POLICE","",""
"135","RE-ORGANISATION","","",""
"136","ADMINISTRATION","SECRETARIAT – GENERAL SERVICES","",""
"137","JAIL","","",""
"138","STATE CRIME RECORDS BUREAU (SCRB)","","",""
"139","DY. CONSERVATOR OF FOREST OFFICE","FORESTRY AND WILD LIFE","",""
"140","FOREST TERRITORIAL","FORESTRY AND WILD LIFE","",""
"141","WORKING PLAN","","",""
"142","FOREST MONITORING & EVALUATION (M & E)","FORESTRY AND WILD LIFE","",""
"143","CHIEF CONSERVATOR OF FOREST OFFICE","FORESTRY AND WILD LIFE","",""
"144","FOREST SETTLEMENT","FORESTRY AND WILD LIFE","",""
"145","RAJASTHAN STATE HANDLOOM DEVELOPMENT CORPORATION (RSHDC)","INDUSTRIES","","psu"
"146","RAJASTHAN CIVIL SERVICES APPELLATE TRIBUNAL (RCSAT)","SECRETARIAT – GENERAL SERVICES","",""
"147","FORESTRY TRAINING INSTITUTE (FTI)","FORESTRY AND WILD LIFE","",""
"148","RAJASTHAN STATE POLLUTION CONTROL BOARD (RSPCB)","SCIENCE, TECHNOLOGY AND ENVIRONMENT","","apex"
"149","RAJASTHAN STATE MEDICINAL PLANTS BOARD (RSMPB)","MEDICAL AND PUBLIC HEALTH","","apex"
"150","FOREST CAMPA","FORESTRY AND WILD LIFE","",""
"151","FOREST SOIL CONSERVATION","FORESTRY AND WILD LIFE","",""
"152","FOREST RESEARCH & TRAINING","FORESTRY AND WILD LIFE","",""
"153","FOREST DEVELOPMENT","FORESTRY AND WILD LIFE","",""
"154","ENVIRONMENT","SCIENCE, TECHNOLOGY AND ENVIRONMENT","",""
"155","PRINCIPAL CHIEF CONSERVATOR OF FOREST OFFICE","FORESTRY AND WILD LIFE","",""
"156","COMMAND AREA DEVELOPMENT (CAD)","MAJOR AND MEDIUM IRRIGATION AND FLOOD CONTROL","",""
"157","RAJASTHAN STATE SPORTS COUNCIL","EDUCATION, SPORTS, ART AND CULTURE","",""
"158","SPORTS AND YOUTH AFFAIRS","EDUCATION, SPORTS, ART AND CULTURE","",""
"159","HORTICULTURE","AGRICULTURAL RESEARCH AND EDUCATION","",""
"160","COOPERATIVE","CO-OPERATION","",""
"161","RAJASTHAN STATE CO-OPERATIVE MARKETING FEDERATION LIMITED (RAJFED)","CO-OPERATION","","apex"
"162","RAJASTHAN TAX BOARD","ECONOMIC SERVICES","","apex"
"163","DEVASTHAN","","",""
"164","PUBLIC WORKS (PWD)","PUBLIC WORKS","",""
"165","MINISTER OFFICE","SECRETARIAT – GENERAL SERVICES","",""
"166","INDIAN MEDICINE DEPARTMENT","MEDICAL AND PUBLIC HEALTH","",""
"167","TECHNICAL EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","",""
"168","STATE INVESTIGATION BUREAU (SIB)","","",""
"169","SASHASTRA SEEMA BAL (SSB)","","",""
"170","HUMAN RIGHTS COMMISSION","","",""
"171","SVP NATIONAL POLICE ACADEMY","POLICE","",""
"172","MEDICAL EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","MEDICAL AND PUBLIC HEALTH",""
"173","MEDICAL (I.E.C.)","MEDICAL AND PUBLIC HEALTH","",""
"174","RAJASTHAN RAJYA TEXT BOOK BOARD","EDUCATION, SPORTS, ART AND CULTURE","",""
"175","RAJASTHAN HEALTH SYSTEM DEVELOPMENT PROJECT","MEDICAL AND PUBLIC HEALTH","",""
"176","RAJASTHAN STATE SEED CORPORATION LIMITED","AGRICULTURAL RESEARCH AND EDUCATION","","psu"
"177","RANTHAMBORE TIGER PROJECT","","",""
"178","FOREST WILDLIFE","FORESTRY AND WILD LIFE","",""
"179","SARISKA TIGER PROJECT","","",""
"180","FOREST CONSERVATION ACT","FORESTRY AND WILD LIFE","",""
"181","FOREST PROTECTION","FORESTRY AND WILD LIFE","",""
"182","CLIMATE CHANGE","SCIENCE, TECHNOLOGY AND ENVIRONMENT","",""
"183","RAJASTHAN PUBLIC SERVICE COMMISSION (RPSC)","SECRETARIAT – GENERAL SERVICES","",""
"184","RAJASTHAN VIDHAN SABHA","SECRETARIAT – GENERAL SERVICES","",""
"185","REGISTRATION AND STAMPS","","",""
